國文,英文,數學,社會,自然
11,13,11,9,14
14,11,13,10,8
12,14,12,7,8
12,9,10,15,7
6,11,9,9,8
10,7,7,12,12
8,12,13,13,6
11,15,14,8,11
14,9,10,8,6
15,6,8,9,7
15,14,11,6,7
9,14,11,9,14
12,11,11,10,13
8,6,10,6,6
8,10,11,13,7
14,6,12,14,13
9,8,15,9,6
15,10,13,15,10
7,8,15,10,8
7,14,13,15,12
12,13,8,11,10
7,13,10,15,11
9,8,14,15,15
15,13,11,15,9
8,13,13,7,14
10,7,11,6,12
15,9,15,13,7
15,14,8,12,9
13,14,11,8,6
8,8,10,14,10
12,6,8,13,14
12,11,14,9,11
6,10,13,6,10
12,6,7,13,9
9,11,13,10,10
7,9,9,9,9
7,6,15,12,9
13,10,12,13,6
15,15,13,12,7
9,12,6,10,8
9,13,6,9,13
7,11,7,9,15
12,11,12,7,8
13,8,15,11,7
9,8,14,10,10
14,11,14,15,7
7,6,7,13,7
12,8,9,15,8
8,10,6,10,13
11,11,9,7,15
14,9,6,11,7
13,7,7,15,13
8,7,13,15,9
13,10,9,8,11
14,6,13,15,12
15,12,15,11,12
12,7,10,8,7
14,11,12,7,14
8,8,6,14,8
12,9,7,6,9
9,7,13,12,11
6,14,7,9,14
14,7,15,12,15
9,8,11,10,8
10,6,7,10,10
11,10,10,10,11
8,7,6,11,14
12,9,6,11,8
7,14,13,12,10
15,9,10,11,15
14,12,8,15,12
7,14,15,10,8
8,7,8,15,15
6,10,14,10,14
7,9,11,8,8
14,8,12,9,15
11,12,14,15,12
6,8,11,10,10
14,12,8,11,12
10,7,7,12,14
14,8,15,6,8
9,6,15,7,15
11,7,10,12,12
7,9,15,15,15
11,15,6,6,13
8,9,9,13,10
11,14,14,12,15
9,6,11,9,6
15,6,11,11,12
14,8,14,11,15
15,8,12,7,9
7,12,7,10,7
8,14,15,13,6
8,10,7,13,9
11,9,11,15,7
7,10,13,15,8
13,11,15,14,6
10,8,15,14,9
11,7,8,12,12
10,13,13,14,8
